QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Exames complementares;;;True
10;Diagnóstico fisioterapêutico;Métodos de avaliação fisioterapêutica;;True
11;Recursos e técnicas fisioterapêuticas;;;True
12;Funcionalidade humana;;;False
13;Ética e bioética;;;False
14;Gestão de serviços de saúde;;;True
15;Determinantes do processo de saúde-doença;;;True
16;Políticas de saúde;;;True
17;Metodologia de pesquisa;Epidemiologia;;True
18;Recursos e técnicas fisioterapêuticas;Métodos de avaliação fisioterapêutica;;True
19;Cinesiologia e biomecânica;;;True
20;Ética e bioética;;;True
21;Ética e bioética;História e fundamentos da fisioterapia;;True
22;Políticas de saúde;;;False
23;Anatomia, fisiologia e patologia de órgãos e sistemas;Níveis de atenção à saúde;;True
24;Recursos e técnicas fisioterapêuticas;;;True
25;Recursos e técnicas fisioterapêuticas;Anatomia, fisiologia e patologia de órgãos e sistemas;;True
26;Níveis de atenção à saúde;;;False
27;Recursos e técnicas fisioterapêuticas;;;True
28;Diagnóstico fisioterapêutico;;;False
29;Recursos e técnicas fisioterapêuticas;;;False
30;Cinesiologia e biomecânica;;;True
31;Níveis de atenção à saúde;Recursos e técnicas fisioterapêuticas;;False
32;Ética e bioética;;;True
33;Níveis de atenção à saúde;;;True
34;Recursos e técnicas fisioterapêuticas;;;False
35;Acessibilidade e tecnologia assistiva;;;True
